Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,Date
I152011034-00,2015-02-10,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152011169-00,2015-02-11,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152016667-00,2015-03-01,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152017250-00,2015-03-03,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152018392-00,2015-03-07,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152019788-00,2015-03-11,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152019839-00,2015-03-12,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152020404-00,2015-03-13,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152020435-00,2015-03-13,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152020724-00,2015-03-14,E18,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152020804-00,2015-03-15,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152020820-00,2015-03-15,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152020647-00,2015-03-14,B2,Fatal,Male,White,Hispanic or Latinx,f,
I152021830-00,2015-03-18,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152023517-00,2015-03-23,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152025357-00,2015-03-28,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152025087-00,2015-03-27,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152025018-00,2015-03-27,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t,
I152025097-00,2015-03-27,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152026045-00,2015-03-31,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152026103-00,2015-03-31,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152026538-00,2015-04-01,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152027279-00,2015-04-03,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152027279-00,2015-04-03,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152028043-00,2015-04-06,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152028582-00,2015-04-08,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152028599-00,2015-04-08,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152028762-00,2015-04-09,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152029808-00,2015-04-12,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152029808-00,2015-04-12,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152033518-00,2015-04-24,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152034171-00,2015-04-27,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152034689-00,2015-04-28,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152035802-00,2015-05-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152036137-00,2015-05-03,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152036159-00,2015-05-03,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152036563-00,2015-05-05,E5,Non-Fatal,Male,Unknown,Unknown,f,
I152038380-00,2015-05-10,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152037866-00,2015-05-08,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152037218-00,2015-05-07,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152037334-00,2015-05-07,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152038963-00,2015-05-12,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152039988-00,2015-05-15,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152040876-00,2015-05-18,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152041419-00,2015-05-20,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152041784-00,2015-05-21,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152041857-00,2015-05-21,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152042211-00,2015-05-23,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152042681-00,2015-05-24,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152042637-00,2015-05-24,C11,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152042638-00,2015-05-24,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152042765-00,2015-05-25,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152043193-00,2015-05-26,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152044761-00,2015-05-30,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152044549-00,2015-05-30,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152044413-00,2015-05-29,A7,Non-Fatal,Female,White,Hispanic or Latinx,f,
I152045258,2015-06-01,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152047934,2015-06-10,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152048250,2015-06-10,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152048254,2015-06-10,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152048199,2015-06-10,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152048592,2015-06-12,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152048902,2015-06-13,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152049143,2015-06-13,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152050036,2015-06-16,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152050036,2015-06-16,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152050036,2015-06-16,B2,Non-Fatal,Male,Asian,Not Hispanic or Latinx,t,
I152050961,2015-06-19,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I152051161,2015-06-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152052391,2015-06-24,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152052766,2015-06-26,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I152052674,2015-06-25,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152053353,2015-06-27,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152053302,2015-06-27,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152053337,2015-06-27,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152054324,2015-07-01,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152054787,2015-07-02,B2,Fatal,Male,Black or African American,Hispanic or Latinx,t,
I152054787,2015-07-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152054740,2015-07-02,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I152054740,2015-07-02,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152055092,2015-07-04,C11,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152055092,2015-07-04,C11,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152055102,2015-07-04,E13,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152055311,2015-07-04,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152055311,2015-07-04,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152055319,2015-07-05,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152055319,2015-07-05,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I150356925,2015-07-04,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152055577,2015-07-05,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152055608,2015-07-06,C6,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152056444,2015-07-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I150373043,2015-07-11,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152057410,2015-07-11,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152057392,2015-07-11,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152057567,2015-07-12,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152057685,2015-07-13,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152057684,2015-07-12,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152057684,2015-07-12,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152058305,2015-07-14,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152059221,2015-07-17,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152059273,2015-07-17,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152059273,2015-07-17,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152059526,2015-07-19,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152060108,2015-07-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152059883,2015-07-20,E5,Fatal,Male,White,Hispanic or Latinx,f,
I152060642,2015-07-22,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152061055,2015-07-24,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152061546,2015-07-25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152061546,2015-07-25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152062504,2015-07-28,B2,Fatal,Female,Black or African American,Hispanic or Latinx,f,
I152061904,2015-07-27,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152061904,2015-07-27,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152061904,2015-07-27,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152058960,2015-07-16,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I152058960,2015-07-16,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152062772,2015-07-29,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152062772,2015-07-29,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152063927,2015-08-02,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152063597,2015-08-01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152063708,2015-08-02,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152064063,2015-08-03,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152064063,2015-08-03,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152064063,2015-08-03,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152065478,2015-08-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152065459,2015-08-08,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152065731,2015-08-09,B2,Non-Fatal,Female,White,Hispanic or Latinx,f,
I152066828,2015-08-12,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152066828,2015-08-12,E13,Fatal,Male,White,Hispanic or Latinx,t,
I152066849,2015-08-12,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152066827,2015-08-12,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152066827,2015-08-12,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152066827,2015-08-12,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152067124,2015-08-13,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152067124,2015-08-13,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152067039,2015-08-13,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152068253,2015-08-18,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152067782,2015-08-16,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152067431,2015-08-15,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152067431,2015-08-15,E13,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152067405,2015-08-14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152068856,2015-08-20,E13,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152068848,2015-08-20,E5,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152069800,2015-08-23,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152070024,2015-08-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152070281,2015-08-24,C11,Non-Fatal,Female,Black or African American,Hispanic or Latinx,f,
I152071596,2015-08-29,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152071596,2015-08-29,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152071596,2015-08-29,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152071596,2015-08-29,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152071585,2015-08-29,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152071601,2015-08-29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152073939,2015-09-06,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152073942,2015-09-06,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152073942,2015-09-06,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t,
I152075106,2015-09-10,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152075954,2015-09-12,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152077031,2015-09-16,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
152078475,2015-09-21,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152078988,2015-09-22,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152079378,2015-09-23,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152079776,2015-09-25,E18,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I152080107,2015-09-26,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152080693,2015-09-28,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I152080898,2015-09-28,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152081264,2015-09-30,E18,Fatal,Male,White,Not Hispanic or Latinx,f,
I152082012,2015-10-02,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152082409,2015-10-04,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152085312,2015-10-14,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152081498,2015-09-30,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152086458,2015-10-18,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152087906,2015-10-22,D14,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152088337,2015-10-24,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152089426,2015-10-28,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152090710,2015-11-01,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152090355,2015-10-31,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152091104,2015-11-03,C11,Fatal,Male,White,Hispanic or Latinx,f,
I152092670,2015-11-08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152094689,2015-11-14,C11,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152094666,2015-11-14,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I152094639,2015-11-14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152096420,2015-11-20,E13,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152096420,2015-11-20,E13,Fatal,Male,White,Hispanic or Latinx,t,
I152096809,2015-11-21,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152097955,2015-11-26,D14,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152097957,2015-11-26,D4,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152097957,2015-11-26,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152097957,2015-11-26,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152097957,2015-11-26,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152098594,2015-11-28,D4,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I152098729,2015-11-29,D4,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152098897,2015-11-30,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152100461,2015-12-05,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152100585,2015-12-05,C6,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152100622,2015-12-05,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152101582,2015-12-09,D4,Fatal,Male,Black or African American,Hispanic or Latinx,f,
I152101840,2015-12-09,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152102506,2015-12-12,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152085872,2015-10-15,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152103493,2015-12-15,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152103255,2015-12-14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152103817,2015-12-16,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152103866,2015-12-16,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152103899,2015-12-17,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152103905,2015-12-17,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152104401,2015-12-18,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152105038,2015-12-20,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152105346,2015-12-21,B2,Non-Fatal,Male,White,Hispanic or Latinx,f,
I152105891,2015-12-23,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152105851,2015-12-23,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I152105851,2015-12-23,E13,Non-Fatal,Male,White,Hispanic or Latinx,t,
I152106846,2015-12-27,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152106597,2015-12-26,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152106575,2015-12-26,A15,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152106565,2015-12-26,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I152106351,2015-12-25,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I152107190,2015-12-29,B3,Fatal,Male,White,Hispanic or Latinx,t,
I152107190,2015-12-29,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,t,
I152107623,2015-12-30,A7,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I152107617,2015-12-30,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162000112,2016-01-01,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162002449,2016-01-09,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162002052,2016-01-08,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162002573,2016-01-10,A7,Fatal,Male,White,Hispanic or Latinx,f,
I162003560,2016-01-13,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162003848,2016-01-14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162004418,2016-01-16,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162004526,2016-01-17,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162005173,2016-01-20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162006622,2016-01-25,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f,
I162007065,2016-01-27,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162007640,2016-01-29,B3,Non-Fatal,Female,Black or African American,Hispanic or Latinx,f,
I162008969,2016-02-02,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162009661,2016-02-05,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162009661,2016-02-05,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162009550,2016-02-04,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162011468,2016-02-12,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162011468,2016-02-12,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162013434,2016-02-20,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162013862,2016-02-21,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162017441,2016-03-05,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162020921,2016-03-17,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I1620201821,2016-03-20,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162021886,2016-03-21,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162021886,2016-03-21,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162022418,2016-03-22,A7,Fatal,Male,White,Not Hispanic or Latinx,f,
I162022446,2016-03-22,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162022446,2016-03-22,E13,Non-Fatal,Female,Unknown,Unknown,t,
I162023617,2016-03-27,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162022759,2016-03-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162022863,2016-03-24,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162026598,2016-04-06,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162026728,2016-04-06,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162030585,2016-04-20,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162031072,2016-04-21,A15,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162031116,2016-04-22,D14,Non-Fatal,Male,White,Not Hispanic or Latinx,f,
I162031289,2016-04-22,C11,Non-Fatal,Female,White,Hispanic or Latinx,f,
I162031365,2016-04-22,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162032243,2016-04-25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t,
I162032243,2016-04-25,B2,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162032844,2016-04-27,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162033066,2016-04-28,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162033354,2016-04-29,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162034516,2016-05-03,C11,Non-Fatal,Male,White,Hispanic or Latinx,t,
I162034516,2016-05-03,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t,
I162035873,2016-05-08,B3,Non-Fatal,Male,White,Hispanic or Latinx,f,
I162036099,2016-05-09,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162038029,2016-05-15,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
I162037770,2016-05-14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162037747,2016-05-14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I1062037733,2016-05-14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f,
I162037458,2016-05-13,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f,
